"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","User Management","0","Login","3","0","Valid Login","0"
"0","User Management","0","Login Functionality","3","0","User Authentication","0"
"0","","0","","11","5","","0"
"0","User Management","0","Login","1","0","","0"
"0","User Management","0","Login","2","0","Invalid Login","0"
"0","Shopping Cart","0","Checkout","1","0","Checkout Page Navigation","0"
"0","User Management","0","Login","1","0","Empty Credentials Login","0"
"0","User Management","0","Registration","1","0","Registration Page Load","0"
"0","User Management","0","Login","1","0","Valid Login Flow","0"
